"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date"
"1","268","MO- KANSAS CITY",2481936,0.000367703330269766,9.26995356866062e-06,36.7703330269766,0.926995356866062,2020-04-05
"2","297","NY- BRONX",1398749,0.00871844562748424,0.000295410726376198,871.844562748424,29.5410726376198,2020-04-05
"3","308","NY- WHITE PLAINS",1135283,0.0125878720486628,0.000185554420923346,1258.78720486628,18.5554420923346,2020-04-05
"4","303","NY- NEW YORK",4981418,0.00828790491615919,0.000302313007458938,828.790491615919,30.2313007458938,2020-04-05
"5","301","NY- EAST LONG ISLAND",4728414,0.0090665416079137,0.000242058151401549,906.65416079137,24.2058151401549,2020-04-05
"6","289","NJ- NEWARK",1534797,0.00559633792372102,0.000176708092815361,559.633792372102,17.6708092815361,2020-04-05
"7","001","AL- BIRMINGHAM",2276677,0.000488768022963307,1.36102906631282e-05,48.8768022963307,1.36102906631282,2020-04-05
"8","007","AL- MONTGOMERY",473121,0.000285900058298393,2.42678758209387e-06,28.5900058298393,0.242678758209387,2020-04-05
"9","006","AL- MOBILE",826053,0.000327967482407964,1.30282046639395e-05,32.7967482407964,1.30282046639395,2020-04-05
"10","134","FL- PENSACOLA",764431,0.000355832861169934,5.28440535935352e-06,35.5832861169934,0.528440535935352,2020-04-05
"11","002","AL- DOTHAN",375802,0.000336574434538816,5.32195145315884e-06,33.6574434538816,0.532195145315884,2020-04-05
"12","009","AL- TUSCALOOSA",266186,0.000314812454718689,0,31.4812454718689,0,2020-04-05
"13","144","GA- ATLANTA",6243061,0.000671104066313513,2.07928684878829e-05,67.1104066313513,2.07928684878829,2020-04-05
"14","148","GA- ROME",289908,0.000603254125202946,2.21031939273003e-05,60.3254125202946,2.21031939273003,2020-04-05
"15","260","MS- MERIDIAN",197862,0.00054220126165006,1.01080551091165e-05,54.220126165006,1.01080551091165,2020-04-05
"16","005","AL- HUNTSVILLE",626099,0.000345980096714082,2.79341316837735e-06,34.5980096714082,0.279341316837735,2020-04-05
"17","373","TN- CHATTANOOGA",700134,0.000199517903728913,1.45610130842029e-05,19.9517903728913,1.45610130842029,2020-04-05
"18","262","MS- TUPELO",396259,0.000382629845033527,1.45654722519534e-05,38.2629845033527,1.45654722519534,2020-04-05
"19","146","GA- COLUMBUS",349248,0.000305505827040148,1.93973235620233e-06,30.5505827040148,0.193973235620233,2020-04-05
"20","010","AK- ANCHORAGE",710231,0.000260478633008134,8.44795566512867e-06,26.0478633008134,0.844795566512867,2020-04-05
"21","012","AZ- PHOENIX",3373124,0.000378349118689781,9.05176037526958e-06,37.8349118689781,0.905176037526958,2020-04-05
"22","293","NM- ALBUQUERQUE",1729568,0.000379740734087599,7.17076245425948e-06,37.9740734087599,0.717076245425948,2020-04-05
"23","015","AZ- TUCSON",1221007,0.000320948709627053,9.794218321555e-06,32.0948709627053,0.9794218321555,2020-04-05
"24","423","UT- SALT LAKE CITY",2034274,0.000593693443704638,1.89182322220877e-06,59.3693443704638,0.189182322220877,2020-04-05
"25","011","AZ- MESA",1384107,0.000337621918550331,7.03955984862949e-06,33.7621918550331,0.703955984862949,2020-04-05
"26","014","AZ- SUN CITY",298424,0.000345000617377385,7.97710548111729e-06,34.5000617377385,0.797710548111729,2020-04-05
"27","279","NV- LAS VEGAS",2064056,0.000742777226590577,2.0035228165899e-05,74.2777226590577,2.0035228165899,2020-04-05
"28","019","AR- LITTLE ROCK",1557326,0.00038778431044417,9.0250917590848e-06,38.778431044417,0.90250917590848,2020-04-05
"29","270","MO- SPRINGFIELD",865127,0.000122673075341052,8.20611784020426e-06,12.2673075341052,0.820611784020426,2020-04-05
"30","021","AR- SPRINGDALE",535647,0.000166080169813643,0,16.6080169813643,0,2020-04-05
"31","267","MO- JOPLIN",375895,0.000145736143034121,2.63434913245364e-06,14.5736143034121,0.263434913245364,2020-04-05
"32","018","AR- JONESBORO",238432,0.000168101458950373,3.96335202989323e-06,16.8101458950373,0.396335202989323,2020-04-05
"33","273","MO- ST LOUIS",3427241,0.000499631385995688,1.09723436687761e-05,49.9631385995688,1.09723436687761,2020-04-05
"34","219","LA- SHREVEPORT",694588,0.00144004895661671,4.68853468372763e-05,144.004895661671,4.68853468372763,2020-04-05
"35","016","AR- FORT SMITH",376522,6.69748071986857e-05,4.71283782006412e-06,6.69748071986857,0.471283782006412,2020-04-05
"36","379","TN- MEMPHIS",1816203,0.000688012051978917,1.13712190631538e-05,68.8012051978917,1.13712190631538,2020-04-05
"37","022","AR- TEXARKANA",263672,0.000170779233523179,3.79387932014416e-06,17.0779233523179,0.379387932014416,2020-04-05
"38","065","CA- ALAMEDA CO.",1538029,0.000388298444086368,7.90737453614852e-06,38.8298444086368,0.790737453614852,2020-04-05
"39","033","CA- CONTRA COSTA CO.",1042954,0.000326678395689345,4.96017680518921e-06,32.6678395689345,0.496017680518921,2020-04-05
"40","091","CA- STOCKTON",596968,0.000282409273033672,1.49749544388836e-05,28.2409273033672,1.49749544388836,2020-04-05
"41","280","NV- RENO",758460,0.000442222684586934,6.97597975119508e-06,44.2222684586934,0.697597975119508,2020-04-05
"42","077","CA- SACRAMENTO",2589156,0.000266597223788091,9.40228909308299e-06,26.6597223788091,0.940228909308299,2020-04-05
"43","031","CA- CHICO",300672,4.78901839128867e-05,0,4.78901839128867,0,2020-04-05
"44","058","CA- MODESTO",901093,0.000127827068763403,2.00581644147e-06,12.7827068763403,0.200581644147,2020-04-05
"45","081","CA- SAN FRANCISCO",1438721,0.000571205067493566,1.17051122067367e-05,57.1205067493566,1.17051122067367,2020-04-05
"46","343","OR- MEDFORD",434585,0.000148141903340526,0,14.8141903340526,0,2020-04-05
"47","043","CA- FRESNO",1244650,0.000118027612723503,2.45728231939195e-06,11.8027612723503,0.245728231939195,2020-04-05
"48","062","CA- NAPA",274114,8.95355204506774e-05,6.24454469436648e-06,8.95355204506775,0.624454469436648,2020-04-05
"49","073","CA- REDDING",341901,0.000174033544462544,5.84964653510812e-06,17.4033544462544,0.584964653510812,2020-04-05
"50","080","CA- SAN DIEGO",3720182,0.000384332949437382,6.44716561644014e-06,38.4332949437382,0.644716561644014,2020-04-05
"51","079","CA- SAN BERNARDINO",3116736,0.000251632146690238,7.1941305579776e-06,25.1632146690238,0.71941305579776,2020-04-05
"52","025","CA- BAKERSFIELD",1161370,0.000266006155584164,5.52523116990431e-06,26.6006155584164,0.552523116990431,2020-04-05
"53","056","CA- LOS ANGELES",9867438,0.000601361148605818,1.33538116412887e-05,60.1361148605818,1.33538116412887,2020-04-05
"54","096","CA- VENTURA",857707,0.000283286169026041,7.55935351757867e-06,28.3286169026041,0.755935351757867,2020-04-05
"55","023","CA- ORANGE CO.",3304821,0.000285819590190867,5.00618665064727e-06,28.5819590190867,0.500618665064727,2020-04-05
"56","089","CA- SANTA ROSA",489750,0.000220851779524391,2.14111251383155e-06,22.0851779524391,0.214111251383155,2020-04-05
"57","078","CA- SALINAS",396679,0.000149377073510385,4.81861527452856e-06,14.9377073510385,0.481861527452856,2020-04-05
"58","083","CA- SAN LUIS OBISPO",251067,0.000351649872286964,3.71213766910141e-06,35.1649872286964,0.371213766910141,2020-04-05
"59","087","CA- SANTA CRUZ",275890,0.00025660733701873,4.05490698722819e-06,25.660733701873,0.405490698722819,2020-04-05
"60","069","CA- PALM SPR/RANCHO MIR.",342069,0.000328005674856781,8.21336817561377e-06,32.8005674856781,0.821336817561377,2020-04-05
"61","082","CA- SAN JOSE",1761797,0.000668192771506557,2.28116266242528e-05,66.8192771506557,2.28116266242528,2020-04-05
"62","086","CA- SANTA BARBARA",443159,0.000394388084625146,2.41851687856908e-06,39.4388084625147,0.241851687856908,2020-04-05
"63","085","CA- SAN MATEO CO.",797525,0.000763062172094914,1.85259580714807e-05,76.3062172094915,1.85259580714807,2020-04-05
"64","103","CO- DENVER",2853117,0.0010403364644486,2.48537355544855e-05,104.03364644486,2.48537355544855,2020-04-05
"65","106","CO- GREELEY",357920,0.00120078563176289,5.68926226708968e-05,120.078563176289,5.68926226708968,2020-04-05
"66","102","CO- COLORADO SPRINGS",829912,0.000610905547626992,3.50160210770594e-05,61.0905547626992,3.50160210770594,2020-04-05
"67","101","CO- BOULDER",308518,0.000697941765184546,1.69119374087289e-05,69.7941765184546,1.69119374087289,2020-04-05
"68","107","CO- PUEBLO",173208,0.000273954729021702,1.23628012624005e-05,27.3954729021702,1.23628012624005,2020-04-05
"69","105","CO- GRAND JUNCTION",337595,0.00116093095676978,1.76914458658956e-05,116.093095676978,1.76914458658956,2020-04-05
"70","104","CO- FORT COLLINS",335380,0.000464316813711923,1.59512135056219e-05,46.4316813711923,1.59512135056219,2020-04-05
"71","201","KS- WICHITA",1276737,0.000147641307270701,2.34287810239194e-06,14.7641307270701,0.234287810239194,2020-04-05
"72","109","CT- BRIDGEPORT",682421,0.00332769488902154,0.000104718074311889,332.769488902154,10.4718074311889,2020-04-05
"73","111","CT- NEW HAVEN",1482374,0.00166673383765714,5.10061585062136e-05,166.673383765714,5.10061585062136,2020-04-05
"74","230","MA- SPRINGFIELD",744460,0.00146358224405284,7.02603365759646e-05,146.358224405284,7.02603365759646,2020-04-05
"75","110","CT- HARTFORD",1510786,0.000767284431294125,3.32131885917189e-05,76.7284431294125,3.32131885917189,2020-04-05
"76","364","RI- PROVIDENCE",1228881,0.000791597312540551,8.5688360499173e-06,79.1597312540551,0.85688360499173,2020-04-05
"77","225","MD- SALISBURY",443452,0.000436001609266199,9.7298161378796e-06,43.6001609266198,0.97298161378796,2020-04-05
"78","112","DE- WILMINGTON",796103,0.000694270438785024,1.6157019183776e-05,69.4270438785024,1.6157019183776,2020-04-05
"79","356","PA- PHILADELPHIA",4185432,0.00151394242179426,2.21991268698158e-05,151.394242179426,2.21991268698158,2020-04-05
"80","113","DC- WASHINGTON",2617594,0.000851245475412205,1.74069498774342e-05,85.1245475412205,1.74069498774342,2020-04-05
"81","226","MD- TAKOMA PARK",960715,0.000809158041858007,1.58013697036377e-05,80.9158041858007,1.58013697036377,2020-04-05
"82","120","FL- GAINESVILLE",567547,0.000339378283226212,2.57351153328757e-06,33.9378283226212,0.257351153328757,2020-04-05
"83","123","FL- JACKSONVILLE",1629968,0.00046646251052066,1.19883893821013e-05,46.646251052066,1.19883893821013,2020-04-05
"84","133","FL- PANAMA CITY",217003,0.000126455037440877,4.60823122260982e-06,12.6455037440877,0.460823122260982,2020-04-05
"85","130","FL- ORLANDO",3621833,0.00044419523167458,5.91398658194313e-06,44.419523167458,0.591398658194313,2020-04-05
"86","118","FL- FORT LAUDERDALE",2760263,0.000838224146441174,2.76945721704355e-05,83.8224146441174,2.76945721704355,2020-04-05
"87","127","FL- MIAMI",3202229,0.00152125012281292,1.48278279917451e-05,152.125012281292,1.48278279917451,2020-04-05
"88","140","FL- TALLAHASSEE",835219,0.000347854745958472,5.15958548540634e-06,34.7854745958472,0.515958548540634,2020-04-05
"89","137","FL- SARASOTA",407131,0.000365369503190732,2.03272124613772e-05,36.5369503190732,2.03272124613772,2020-04-05
"90","119","FL- FORT MYERS",1182870,0.000575559887285752,1.3262566286603e-05,57.5559887285752,1.3262566286603,2020-04-05
"91","129","FL- OCALA",529160,0.000257819673483358,1.07968406372498e-05,25.7819673483358,1.07968406372498,2020-04-05
"92","131","FL- ORMOND BEACH",383378,0.000309954548696713,5.64275470384574e-06,30.9954548696712,0.564275470384573,2020-04-05
"93","124","FL- LAKELAND",386176,0.000291133192546939,6.08103281698407e-06,29.1133192546939,0.608103281698407,2020-04-05
"94","122","FL- HUDSON",408247,0.000231523225451843,2.54330300485871e-06,23.1523225451843,0.254330300485871,2020-04-05
"95","141","FL- TAMPA",1385149,0.000400507199928624,4.09259546944798e-06,40.0507199928624,0.409259546944798,2020-04-05
"96","115","FL- BRADENTON",296705,0.000421270440134683,9.29273029708859e-06,42.1270440134683,0.929273029708859,2020-04-05
"97","116","FL- CLEARWATER",506206,0.00039168963342651,8.72845979780523e-06,39.168963342651,0.872845979780523,2020-04-05
"98","139","FL- ST PETERSBURG",410319,0.00039168963342651,8.72845979780523e-06,39.168963342651,0.872845979780523,2020-04-05
"99","149","GA- SAVANNAH",856153,0.000376164051509353,1.16801552993449e-05,37.6164051509353,1.16801552993449,2020-04-05
"100","142","GA- ALBANY",219645,0.00489138295332866,0.000230784293612258,489.138295332866,23.0784293612258,2020-04-05
"101","147","GA- MACON",734927,0.00035269918319468,1.47865742847689e-05,35.269918319468,1.47865742847689,2020-04-05
"102","145","GA- AUGUSTA",673766,0.000245120304042434,4.43461197955673e-06,24.5120304042434,0.443461197955673,2020-04-05
"103","150","HI- HONOLULU",1360301,0.000266117572507849,1.47026283153508e-06,26.6117572507849,0.147026283153508,2020-04-05
"104","151","ID- BOISE",883940,0.00113871695775354,7.94923864305866e-06,113.871695775354,0.794923864305866,2020-04-05
"105","440","WA- SPOKANE",1515334,0.000454986518977489,2.0437950073123e-05,45.4986518977489,2.0437950073123,2020-04-05
"106","152","ID- IDAHO FALLS",238602,9.00290887112802e-05,0,9.00290887112802,0,2020-04-05
"107","276","MT- MISSOULA",382740,0.000208878356617056,6.41998784823632e-06,20.8878356617056,0.641998784823632,2020-04-05
"108","172","IL- SPRINGFIELD",830634,0.000108350211696476,8.42729770271865e-06,10.8350211696476,0.842729770271865,2020-04-05
"109","263","MO- CAPE GIRARDEAU",264707,0.00022919683229835,1.28625080115003e-06,22.919683229835,0.128625080115003,2020-04-05
"110","449","WI- MADISON",1093305,0.000349634577300859,1.10067178317585e-05,34.9634577300859,1.10067178317585,2020-04-05
"111","171","IL- ROCKFORD",735905,0.000167652501876396,4.39509498108035e-06,16.7652501876396,0.439509498108035,2020-04-05
"112","170","IL- PEORIA",615743,7.54943581898237e-05,4.47503026097905e-06,7.54943581898237,0.447503026097905,2020-04-05
"113","191","IA- DAVENPORT",492280,0.000238874372949671,3.53773082841801e-06,23.8874372949671,0.353773082841801,2020-04-05
"114","173","IL- URBANA",450688,0.000169753961069069,1.2935663169763e-06,16.9753961069069,0.12935663169763,2020-04-05
"115","188","IN- TERRE HAUTE",183701,0.000148745972800838,1.08736287582676e-05,14.8745972800838,1.08736287582676,2020-04-05
"116","164","IL- JOLIET",714644,0.000871987961306616,2.55479185259243e-05,87.1987961306616,2.55479185259242,2020-04-05
"117","155","IL- BLUE ISLAND",852099,0.00152171969342958,3.51595670698467e-05,152.171969342958,3.51595670698467,2020-04-05
"118","158","IL- ELGIN",801491,0.000807848682176862,2.34502443663798e-05,80.7848682176862,2.34502443663798,2020-04-05
"119","186","IN- MUNSTER",313527,0.000890144058973583,2.09696292358126e-05,89.0144058973583,2.09696292358126,2020-04-05
"120","166","IL- MELROSE PARK",1336480,0.00112813339756361,3.07687374680206e-05,112.813339756361,3.07687374680206,2020-04-05
"121","161","IL- EVANSTON",912358,0.00147961988842269,3.37899928070837e-05,147.961988842269,3.37899928070837,2020-04-05
"122","163","IL- HINSDALE",475308,0.00080332906679894,2.35857620789315e-05,80.332906679894,2.35857620789315,2020-04-05
"123","156","IL- CHICAGO",2586419,0.00154831630467739,3.58058973853032e-05,154.831630467739,3.58058973853032,2020-04-05
"124","179","IN- EVANSVILLE",682402,0.000151343671805266,2.59539061175894e-08,15.1343671805266,0.00259539061175894,2020-04-05
"125","154","IL- AURORA",343756,0.000441583498840615,2.32384853685015e-05,44.1583498840615,2.32384853685015,2020-04-05
"126","175","IL- BLOOMINGTON",205021,0.00025244830387392,9.64763639219762e-06,25.244830387392,0.964763639219762,2020-04-05
"127","194","IA- IOWA CITY",345868,0.000625515063764102,1.66709089892634e-05,62.5515063764102,1.66709089892634,2020-04-05
"128","193","IA- DUBUQUE",157341,0.000199016126156453,6.3556225014459e-06,19.9016126156453,0.63556225014459,2020-04-05
"129","208","KY- PADUCAH",370644,0.0001757949134367,8.41606972369842e-06,17.57949134367,0.841606972369841,2020-04-05
"130","451","WI- MILWAUKEE",2711686,0.00078768835134341,2.45407928675306e-05,78.768835134341,2.45407928675306,2020-04-05
"131","264","MO- COLUMBIA",707702,0.000276034181546953,4.16543789946948e-06,27.6034181546953,0.416543789946948,2020-04-05
"132","180","IN- FORT WAYNE",866605,0.000140578592444925,5.57061657069566e-06,14.0578592444925,0.557061657069566,2020-04-05
"133","183","IN- INDIANAPOLIS",2852404,0.0011182017066344,2.96679448458731e-05,111.82017066344,2.96679448458731,2020-04-05
"134","184","IN- LAFAYETTE",242737,0.000174220180127925,1.13014924288137e-05,17.4220180127925,1.13014924288137,2020-04-05
"135","185","IN- MUNCIE",168738,0.000288736939847335,1.27720110011405e-05,28.8736939847335,1.27720110011405,2020-04-05
"136","205","KY- LOUISVILLE",1761589,0.000335899753293664,1.25741803498559e-05,33.5899753293664,1.25741803498559,2020-04-05
"137","327","OH- CINCINNATI",1674091,0.000330850790970975,8.31845173354338e-06,33.0850790970975,0.831845173354338,2020-04-05
"138","187","IN- SOUTH BEND",696079,0.000259516777404411,8.78148391522135e-06,25.9516777404411,0.878148391522135,2020-04-05
"139","181","IN- GARY",529009,0.000488410194950146,1.08555356019569e-05,48.8410194950146,1.08555356019569,2020-04-05
"140","207","KY- OWENSBORO",145260,0.000468019765156904,1.37684152554041e-05,46.8019765156904,1.37684152554041,2020-04-05
"141","238","MI- KALAMAZOO",669114,0.000261877983819162,1.27968284263649e-05,26.1877983819162,1.27968284263649,2020-04-05
"142","192","IA- DES MOINES",1091747,0.000214328501479302,6.39769785683531e-06,21.4328501479302,0.639769785683531,2020-04-05
"143","278","NE- OMAHA",1302233,0.000259022395424681,4.60740377172771e-06,25.9022395424681,0.460740377172771,2020-04-05
"144","448","WI- LA CROSSE",356614,0.000198789563704514,6.40613302849823e-06,19.8789563704514,0.640613302849823,2020-04-05
"145","190","IA- CEDAR RAPIDS",301530,0.000627005377798389,2.00680546531656e-05,62.7005377798389,2.00680546531656,2020-04-05
"146","197","IA- WATERLOO",213653,0.000141985206241646,0,14.1985206241646,0,2020-04-05
"147","196","IA- SIOUX CITY",263271,8.64151757652006e-05,0,8.64151757652006,0,2020-04-05
"148","371","SD- SIOUX FALLS",773673,0.000308093691686874,2.6666922494469e-06,30.8093691686874,0.26666922494469,2020-04-05
"149","195","IA- MASON CITY",132160,0.000127024703465227,0,12.7024703465227,0,2020-04-05
"150","253","MN- ROCHESTER",416752,0.000404087557931964,5.8991549114624e-06,40.4087557931964,0.58991549114624,2020-04-05
"151","251","MN- MINNEAPOLIS",3233450,0.000164545819239552,5.50212795238185e-06,16.4545819239552,0.550212795238185,2020-04-05
